age,no_education,elementary_school,high_school,college_or_higher,dont_know_missing,total,number,median_years
6-9,37.9,58.9,0.4,0.0,2.8,100.0,3660,1.4
10-14,2.4,80.5,16.9,0.0,0.1,100.0,4306,5.2
15-19,1.1,27.3,58.3,13.1,0.1,100.0,3602,9.0
20-24,1.6,271,411,29.5,0.0,100.0,2896,10.2
25-29,19,29.3,40.6,28.1,Oo.,100.0,2437,10.2
30-34,23,34.7,35.7,27.2,0.1,100.0,2085,10.0
35-39,23,417,32.9,22.8,0.3,100.0,1929,8.6
40-44,23,44.2,30.3,23.1,0.0,100.0,1571,8.1
45-49,2.6,51.8,24.9,20.6,0.2,100.0,1244,68
50-54,4.3,56.6,22.1,16.8,0.2,100.0,1015,6.6
55-59,5.8,56.5,23.3,14.1,0.3,100.0,881,65
60-64,9.5,53.6,211,15.2,0.6,100.0,710,6.4
65+,16.9,58.5,13.5,10.9,0.1,100.0,1181,49
